Pattern String,Comment,Pattern Category,Pattern Type,Where in website?,Deceptive?,Website Page
Will sell out fast!,Product detail,Scarcity,High-demand Message,Product Page,No,https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace
Strong demand! Complete your order before it's too late!,Shown for all products,Scarcity,High-demand Message,Checkout Process,No,https://fuzz.online/products/fg-grater
Items in your cart are in VERY high-demand.,Shown for all products,Scarcity,High-demand Message,Product Page,No,https://pelacase.com/products/save-the-waves-black-google-pixel-2xl-eco-friendly-phone-case?variant=12170059087986
Items in your cart are in high demand.,Shown for all products,Scarcity,High-demand Message,Cart Page,No,https://sugarandcotton.com/collections/holiday-gift-ideas/products/luna-moon-nightlight-lamp
Extremely high demand: expect 2-4 weeks for it to arrive (to be safe). Limit 4 per person!,Shown for all products,Scarcity,High-demand Message,Product Page,No,https://sugarandcotton.com/collections/holiday-gift-ideas/products/luna-moon-nightlight-lamp
High demand,Product detail,Scarcity,High-demand Message,Product Page,No,https://trendyparadize.com/collections/best-sellers/products/led-flower-crown?variant=11852764839978
HIGH DEMAND,Product detail,Scarcity,High-demand Message,Product Page,No,https://voe21.com/collections/all-products-1/products/the-void
"An item you ordered is in high demand. No worries, we have prioritized your order.",Shown for all products,Scarcity,High-demand Message,Cart Page,No,https://www.1sttheworld.com/collections/polyester-all-over-print-t-shirts-utm_source-menu-utm_medium-shop-utm_campaign-polyaoptshirt-utm_term-utm_content/products/netherlands-t-shirt?variant=19086079230021
This item is in high demand.,Below ATC button,Scarcity,High-demand Message,Product Page,No,https://www.1sttheworld.com/collections/polyester-all-over-print-t-shirts-utm_source-menu-utm_medium-shop-utm_campaign-polyaoptshirt-utm_term-utm_content/products/netherlands-t-shirt?variant=19086079230021
"Sorry, this is out of stock. You just missed it.",Makes it seem like you just missed out on the product.  Popup appears when you land on a product that's out of stock.,Scarcity,High-demand Message,Product Page,No,https://www.6pm.com/p/lacoste-flamme-short-sleeve-regular-fit-jersey-semi-fancy-collar-inkwell-flour-navy-blue/product/9095736/color/768857
Items in your cart are selling fast,Popup. Shown for all produts.,Scarcity,High-demand Message,Cart Page,No,https://www.destinationmaternity.com/luxe-essentials-denim-secret-fit-belly-kate-girlfriend-maternity-jeans/006-70363-000-001.html?cgid=pea-jeans&dwvar_006-70363-000-001_color=006-70363-97
Items in your cart are in high demand. But we have reserved your order.,Shown for all products,Scarcity,High-demand Message,Cart Page,No,https://www.fashionnova.com/collections/sandals/products/always-blooming-flat-sandal-red
"ONCE IT'S GONE, IT'S GONE",Product detail,Scarcity,High-demand Message,Product Page,No,https://www.mandmdirect.com/01/details/LT3552/Lyle-And-Scott-Vintage-Mens-Halket-Canvas-Pumps-White
SELLING FAST! GET 10% OFF THIS ITEM. ACTIVATE NOW.,See message on hovering long over add to cart. The message appears only after you've scrolled down the page first. Shown for all products.,Scarcity,High-demand Message,Product Page,No,https://www.pacificcoast.com/hotel-deluxe-baffle-box-mattress-topper/MV-67381.html?referralcat=sale#start=1
"Items in your cart are in high demand, but we have reserved your order.",Banner. Shown for all products.,Scarcity,High-demand Message,Cart Page,No,https://www.simplycarbonfiber.com/products/real-carbon-fiber-heart
"Our items sell fast, don't miss out!",Popup,Scarcity,High-demand Message,Cart Page,No,https://www.simplycarbonfiber.com/products/real-carbon-fiber-heart
AN ITEM IN YOUR CART IS SELLING OUT QUICKLY,Popup in cart if you wait or try to leave the page,Scarcity,High-demand Message,Cart Page,No,https://www.wineenthusiast.com/storage/wine-refrigerators/6-50-bottle-wine-refrigerators.asp?fpid=17927
IN HIGH DEMAND!,Below product image. Shown for nearly all products.,Scarcity,High-demand Message,Product Page,No,https://www.wowcher.co.uk/deal/london/10587660/babyliss-curl-secret-hair-styler-54?usr_src=search
"Hurry, this style is selling fast!",Product detail,Scarcity,High-demand Message,Product Page,No,https://www.columbiasportswear.co.uk/womens-titan-ultra-half-zip-shirt-1803081.html?cgid=shopToStay-cool&dwvar_1803081_variationColor=466
In demand,Product detail,Scarcity,High-demand Message,Product Page,No,https://www.discountsupplements.ie/testa-testa-omega-3-algae-oil-epa-dha-60-gels
Selling Fast,Product detail. Shown for all products.,Scarcity,High-demand Message,Product Page,No,https://dailysale.com
LIMITED OFFER: $125 Off + 2 Free Pillows,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.nectarsleep.com/mattress
Sale ends soon,No deadline,Urgency,Limited-time Message,Product Page,No,https://www.yesstyle.com
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Product detail,Urgency,Limited-time Message,Product Page,No,http://www.testequipmentdepot.com/bk-precision/electronic-load/stand-alone/120v-600a-4500w-programmable-dc-electronic-load-8624.htm
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Product detail,Urgency,Limited-time Message,Product Page,No,https://adamspolishes.com/adam-s-red-bottle-die-cut-sticker.html
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Banner,Urgency,Limited-time Message,Product Page,No,https://affordableblinds.com/popular-product/essential-cordless-cellular-shade
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,Banner,Urgency,Limited-time Message,Product Page,No,https://camilla.com/products/button-up-dress-with-lace-insert-olympe-ode
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",Product detail,Urgency,Limited-time Message,Product Page,No,https://chinagadgetsreviews.com/utorch-corridor-porch-aisle-lights-flash-sale-for-only-7-99-gearbest.html
Limited Time Offer,Product detail,Urgency,Limited-time Message,Product Page,No,https://cspcart.com/products/microsoft-office-home-business-2019-for-mac
Limited time offer,Product detail,Urgency,Limited-time Message,Product Page,No,https://myfave.com/kuala-lumpur/chir-chir-malaysia-1-108-00-pavilion-elite-chir-chir-malaysia-rm100-cash-voucher-for-korean-fried-chicken-and-more-42766?referral=featured
"LIMITED TIME - BUY THE NEW PURPLE PLUSH PILLOW, GET ONE FREE",Banner/Popup,Urgency,Limited-time Message,Product Page,No,https://purple.com/platform
"Now 30% off - hurry, limited time offer!",Product detail,Urgency,Limited-time Message,Product Page,No,https://runningboardwarehouse.com/p/ionic-41-series-brite-running-boards/
LIMITED TIME DEAL!,Product detail,Urgency,Limited-time Message,Product Page,No,https://safishing.com/shop/frost-tech-3-fleece-face-shields-pack-pick-your-pack-promo-eligible/#configuration
Wait! Take 10% off Your First Order Deal Expires Soon!,Popup,Urgency,Limited-time Message,Cart Page,No,https://sated.com/collections/sated/products/sated-keto-meal-shake-naturally-sweetened
LIMITED TIME SALE,Produt detail,Urgency,Limited-time Message,Product Page,No,https://shop.mochithings.com/products/84462
ONLY AVAILABLE FOR A LIMITED TIME,Product detail,Urgency,Limited-time Message,Product Page,No,https://shopcaseyneistat.com/collections/20-off/products/work-harder-hoodie
50% OFF for Limited Time Only!!!,Product detail,Urgency,Limited-time Message,Product Page,No,https://trendyparadize.com/collections/best-sellers/products/led-flower-crown?variant=11852764839978
"Only available for a LIMITED TIME, so get yours TODAY!",Product detail,Urgency,Limited-time Message,Product Page,No,https://viralstyle.com/ngo-thanh-tung/work-hard-in-silence-let-success-make?utm_source=featured
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE RETURNS*,Banner,Urgency,Limited-time Message,Product Page,No,https://www.additionelle.com/en-us/non-padded-faux-wrap-sports-bra-sizes-g-and-h---nola/408419.html?cgid=New-Arrivals-Activewear&dwvar_408419_color=Black
Ends Sunday! $200 off any mattress . free shipping & free returns!,Been repeating this sale for a long time. See webarchive data here: https://web.archive.org/web/*/https://www.amerisleep.com/,Urgency,Limited-time Message,Product Page,No,https://www.amerisleep.com/as2.html
Act now and save $12.99. Limited time only!,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.bestcigarprices.com/cigar-directory/rocky-patel-sun-grown-cigars/rocky-patel-sun-grown-toro-8255/?saleid=25775
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",Product detail,Urgency,Limited-time Message,Product Page,No,https://www.bodybuilding.com/store/muscletech/hydroxycut-hardcore-elite.html
(LIMITED TIME OFFER) TORSION GUN HOLSTER SUPER COMBO,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.bravoconcealment.com/collections/inside-the-waistband-appendix-kydex-holsters/products/torsion-gun-holster-super-combo
ON SALE AT $1.99 FOR A LIMITED TIME,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.buckwholesale.com/blank-dad-hats-bk-caps-unisex-cotton-polo-unstructured-low-profile-baseball-caps-with-buckle-back-closure-34-colors-4921/
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Banner,Urgency,Limited-time Message,Product Page,No,https://www.candyfavorites.com/snickers-creamy-peanut-butter-share
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Banner,Urgency,Limited-time Message,Product Page,No,https://www.cases.com/apple-iphone-6-plus-iphone-6s-plus-iphone-7-plus-iphone-8-plus-incipio-kate-spade-new-york-protective-hardshell-case-dream-floral-cream-rose-dew-tech-pink-sand-black-gold-foil/
Sale ends soon:,No deadline,Urgency,Limited-time Message,Product Page,No,https://www.chicwish.com/secret-to-sweetness-bowknot-chiffon-dress-in-pink.html
FOR A LIMITED TIME ONLY,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.cobone.com/en/deals/dubai/fun-city-play-membership-landmark/86605
Limited Time Promo $194.00,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.corvettemods.com/C6-Corvette-Z06-2006-2013-RaceMesh-Front-Lower-Grille--Black-Electro-Polished-Stainless_p_19193.html
Limited Time Offer!,All products on sale? No deadline.,Urgency,Limited-time Message,Product Page,No,https://www.coverscart.com/One_plus/OnePlus-3/Dark-Lines-Pattern-Back-Case-for-OnePlus-3
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Banner,Urgency,Limited-time Message,Product Page,No,https://www.crankbrothers.com/collections/twin-pair-spoke-accessories/products/cobalt-iodine-zinc-front-endcap
Limited Time,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.cyclingexpress.com/en/productdia/25925748/campagnolo-bora-one-50-ac3-clincher-carbon-road-wheelset.html
$69.50 For A Limited Time Details,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.destinationmaternity.com/luxe-essentials-denim-secret-fit-belly-kate-girlfriend-maternity-jeans/006-70363-000-001.html?cgid=pea-jeans&dwvar_006-70363-000-001_color=006-70363-97
FLASH SALE | LIMITED TIME ONLY Shop Now,,Urgency,Limited-time Message,Product Page,No,https://www.dickssportinggoods.com/p/smith-adult-arrival-mips-snow-helmet-18soparrvlmpspbxxssp/18soparrvlmpspbxxssp?recid=coupon_PageElement_category_rr_1_3465_&rrec=true
Limited Time Sale - Buy Now!,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.discountbandit.com/speed-queen-commercial-laundry-pair-with-lwn432sp115tw01-top-load-washer-ld-963052.html
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.dormco.com/Braided_Blanket_Throw_Size_p/d1603-bybs18-40x60.htm
SLEEP EVENT OFFERS - LIMITED TIME ONLY,,Urgency,Limited-time Message,Product Page,No,https://www.dreams.co.uk/hugo-nickel-metal-bed-frame/p/211-01131
Limited Time: $10 Off! Discount Reflected In Price!,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.dressbarn.com/signature-fit-soft-stretch-ankle-leg-jeans/prd-103563815
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),Product detail,Urgency,Limited-time Message,Product Page,No,https://www.eluktronics.com/MECH-15-G2
On Sale! Limited Time Offer!,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.ftd.com/product/beyond-blue-bouquet-blue-white-prd-cdb
FREE SHIPPING // FOR A LIMITED TIME ONLY,,Urgency,Limited-time Message,Product Page,No,https://www.gerbergear.com/Multi-Tools/One-Hand-Opening/Center-Drive-Plus_30-001417
Limited Time Offers,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.globalsugarart.com/sale/limited-time-offers.html
Limited time remaining!,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.gosawa.com/deals/valentine-bundle-black-and-red-ifrogz-audio-coda-wireless-speaker-with-mic?category=valentines-day
Limited Time Remaining!,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.groupon.com/deals/gg-cm-aesthetics-24k-gold-face-serum-with-hyaluronic-acid
Limited time - final price reflects extra 29% off,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.homage.com/collections/new-arrivals/products/cleveland-cavs-on-fire
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.homewetbar.com/great-beard-great-responsibility-giant-stemless-engraved-wine-glass-beard-lover-gift-p-7131.html
LIMITED TIME ONLY!,Produt detail,Urgency,Limited-time Message,Product Page,No,https://www.hyperli.com/products/half-day-spa-package-from-r699-for-one-at-bakwena-zevenwacht-spa-zevenwacht/3013
LIMITED TIME ONLY,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.hyperli.com/products/lamb_spit_braai_for_up_to_20_at_thymekitchen
Free Shipping On Orders Over $49* - Limited Time Only,Banner,Urgency,Limited-time Message,Product Page,No,"https://www.inlineskates.com/5th-Element-80mm-8-Pack-Inline-Skate-Wheels-with-ABEC-7-Bearings/479142P,default,pd.html"
HURRY! £32.99 UK DELIVERY ENDS SOON,Banner,Urgency,Limited-time Message,Product Page,No,https://www.isawitfirst.com/collections/new-in/products/leopard-print-frill-wrap-dress-mid-brown-jl35429
"$3,159.20 $3,949.00 Limited time only",Product detail,Urgency,Limited-time Message,Product Page,No,https://www.levinfurniture.com/product/item/mattresses/california-king-mattresses/sealy-mattress-company/stearns-foster-baywood-cushion-firm-pillowtop-california-king-mattress/2210971/1985661
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Banner,Urgency,Limited-time Message,Product Page,No,https://www.liveaquaria.com/product/3365/sinularia-finger-leather-coral-yellow-polyp-aquaculured-ora-reg?pcatid=3365&c=3352+3354+3365
Limited Time Offer: 10% Off your first order!,Popup,Urgency,Limited-time Message,Product Page,No,https://www.livelovepolish.com/products/live-love-polish-refracted-nail-polish-sunset-collection
FRAMON #2 Code Machine Offer - Limited time offer!,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.lockpicks.com/catalog/product/view/id/7595/s/special-price-framon-2-code-machine/
STOCK IS GUARANTEED FOR 60 MINUTES,Doesn't change. Message appears on an empty cart too.,Urgency,Limited-time Message,Cart Page,No,https://www.merchoid.com/product/spider-man-white-spider-premium-hoodie/
"Hurry, before it is gone! Limited time remaining!",Shown for all products,Urgency,Limited-time Message,Product Page,No,https://www.myantitheftbackpack.com/products/usb-charging-anti-theft-backpack
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Banner,Urgency,Limited-time Message,Product Page,No,https://www.ninelineapparel.com/products/vinyl-decal-the-pledge
LIMITED TIME OFFER!,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.noahscave.com/product/magic-8x-zoom-lens-compatible-phones/
LIMITED TIME ONLY *on select models,Footer,Urgency,Limited-time Message,Product Page,No,https://www.nordictrack.com/exercise-bikes/s22i-studio-bike
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.ojcommerce.com/naomi-home-idealbase-14-platform-metal-bed-frame-mattress-foundation-box-spring-replacement-83311a
Limited Time!,Free shipping offer,Urgency,Limited-time Message,Cart Page,No,https://www.pacsun.com/pacsun/side-stripe-tricot-green-track-pants-0133250500173.html?dwvar_0133250500173_color=030&cgid=mens-pants
Free Shipping. Limited Time Only. for orders over $50,Summary,Urgency,Limited-time Message,Cart Page,No,https://www.parentgiving.com/shop/carnation-breakfast-essentials-no-sugar-added-36-gram-individual-packet-powder-oral-supplement-7868/p/
Limited time - Free Shipping on all orders*,Banner,Urgency,Limited-time Message,Product Page,No,https://www.penningtons.com/en/wirefree-cotton-bra-with-lace---ti-voglio/414681.html?cgid=Lingerie-Bras&dwvar_414681_color=Blushing%20heather
25% OFF SELECTED JACKETS Limited Time,Banner,Urgency,Limited-time Message,Product Page,No,https://www.portmans.com.au/shop/en/portmans/workwear/work-pants/the-boston-suit-pant-714312-1?colour=GREY
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,Banner,Urgency,Limited-time Message,Product Page,No,https://www.prettylittlething.com.au/yellow-cheetah-cut-out-wrap-around-swimsuit.html
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,Product detail. Below ATC.,Urgency,Limited-time Message,Product Page,No,https://www.prettylittlething.com.au/yellow-cheetah-cut-out-wrap-around-swimsuit.html
SAVE $300.00\nfor limited time,Produt detail,Urgency,Limited-time Message,Product Page,No,https://www.projectorpeople.com/Epson-Home-Cinema-4000-3D-4K-Enhancement/Projector/41761
"Now 20% off, hurry limited time offer!",Product detail,Urgency,Limited-time Message,Product Page,No,https://www.realtruck.com/ionic-pro-series-5-oval-black-nerf-bars/
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.rogansshoes.com/baretraps-shania-tall-dress-boots-womens
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Banner,Urgency,Limited-time Message,Product Page,No,https://www.rw-co.com/en/slim-fit-red-floral-dress-shirt/420145.html?dwvar_420145_color=Whithe%20with%20red%20flowers&cgid=men-new-arrivals
Limited time offer.,Produt detail,Urgency,Limited-time Message,Product Page,No,https://www.samsung.com/us/shop/all-deals/
Hot Offer. Limited Time,Banner / Product detail,Urgency,Limited-time Message,Product Page,No,https://www.smiggle.com.au/shop/ProductDisplay?top_category5=&top_category4=&top_category3=&urlRequestType=Base&productId=10631001&catalogId=30101&top_category2=&categoryId=359560&errorViewName=ProductDisplayErrorView&urlLangId=-1&langId=-1&top_category=&parent_category_rn=341561&storeId=30101&colour=CORAL
LIMITED TIME OFFER,,Urgency,Limited-time Message,Product Page,No,https://www.tomorrowsleep.com/down-alternative-white-comforter
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,Banner,Urgency,Limited-time Message,Product Page,No,https://www.traxnyc.com/Mens-Chains-Gold-Chains-10k-Gold-Diamond-Cut-Cuban-Chain-30-Inches-4mm-9.07Grams-item33012.html
"Limited time only: FREE SHIPPING on all orders, no minimum required!",Banner,Urgency,Limited-time Message,Product Page,No,https://www.uniqlo.com/us/en/kids-stretch-fleece-ribbed-high-neck-long-sleeve-t-shirt-409588.html
20% OFF VALENTINE\u2019S DAY FAVOURITES * | LIMITED TIME ONLY,Banner,Urgency,Limited-time Message,Product Page,No,https://www.urbandecay.co.uk/en_GB/features/on-the-run-mini/3605972024282.html
Limited Time Only · Online Only,Banner,Urgency,Limited-time Message,Product Page,No,https://www.urbanoutfitters.com/shop/uo-long-sleeve-patterned-flannel-shirt
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,,Urgency,Limited-time Message,Product Page,No,https://www.wiggle.co.uk/helly-hansen-lifa-loft-hybrid-insulator-jacket/
Limited Time Only! 20% Off,Product detail,Urgency,Limited-time Message,Product Page,No,https://www.williams-sonoma.com/products/pink-grapefruit-essential-oils-soap-lotion-collection/?cm_src=AutoCatRel
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Right hand side popup,Urgency,Limited-time Message,Product Page,No,https://www.wilsonamplifiers.com/weboost-connect-4g-x-cell-phone-signal-booster-kit-471104/
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Product detail,Urgency,Limited-time Message,Product Page,No,https://www.woodenstreet.com/ray-loft-small-chest-of-drawer-natural-finish
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Banner,Urgency,Limited-time Message,Product Page,No,https://www.ylighting.com/carronade-adjustable-floor-lamp-by-le-klint-LKLP177098.html
Only 2 units left in stock,Product detail,Scarcity,Low-stock Message,Cart Page,No,http://oxolloxo.kraftly.com/product/printed-maternity-printed-tunic-1482244288soq
Low Stock – Selling Fast,Product detail,Scarcity,Low-stock Message,Product Page,No,https://beds.co.uk/product/beds-co-uk-divan-fabric-bed-with-open-spring-memory-foam-mattress/?attribute_pa_ajfoams_mattress_size=2ft6-small-single&attribute_pa_durest_storage=65-2drawersonsameside&attribute_pa_durest_headboardcolour=pink-leather
Only 1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://advanti.com/bitfenix-phenom-m-bfc-phm-300-kkxkk-rp-midnight-black-steel-plastic-microatx-mini-tower-computer-case-clearance-item-no-warranty-refund-or-exchange-.html?category_id=89
Limited Stock,Product detail. Vague wording.,Scarcity,Low-stock Message,Product Page,No,https://advanti.com/bitfenix-phenom-m-bfc-phm-300-kkxkk-rp-midnight-black-steel-plastic-microatx-mini-tower-computer-case-clearance-item-no-warranty-refund-or-exchange-.html?category_id=89
ONLY 4 LEFT IN STOCK,Product detail,Scarcity,Low-stock Message,Product Page,No,https://alaindupetit.com/collections/three-piece-suits/products/blue-pinstripe-3p-two-button-tr
Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,No,https://alofthobbies.com/15ft-mini-b-usb-cable-w-ferrite-core.html
4 items left,Product detail,Scarcity,Low-stock Message,Product Page,No,https://ambitwheels.com/products/rs18-20x9-20x10-5-5x114-3-roto-forged-tesla-model-3
Only 2 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://ar15discounts.com/products/thordsen-customs-length-of-pull-extensions-for-frs-15-gen-iii-rifle-stock/
Low In Stock Today,Product detail,Scarcity,Low-stock Message,Product Page,No,https://attitudetoday.com
ONLY 3 LEFT IN STOCK.,Product detail,Scarcity,Low-stock Message,Product Page,No,https://baileynelson.com.au/collections/new-arrivals/products/homer-sunglasses
Only 9 items left!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://battlemerchant.com/Books-Magazines/Magazines/Medieval-Warfare-Magazine/Medieval-Warfare-Vol-VIII-6-The-Seventh-Crusade::60987.html?MODsid1=540fae7cb0d08157eccb0148515d6aaf
Only 4 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://beetstech.com/product/apple-thunderbolt-gigabit-ethernet-adapter
"894 Claimed! Hurry, only a few left!",Product detail,Scarcity,Low-stock Message,Product Page,No,https://begears.com/products/audio-transmission-set-for-guitar-bass-violin?variant=15210532077611
Only 1 unit left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://bestzone.kraftly.com/product/felizer-designer-diamond-studded-round-1469627626xmy
ONLY 1 LEFT! GET IT NOW!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://blnts.com/collections/bn_new_shop-all-new/products/0596-31791952-womens-rainbow-definition-graphic-long-sleeve-tee
We have 1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://brilliantbikes.co.uk/brompton-folding-bikes/3258-brompton-p6r-folding-bike-raw-lacquer-2019-model.html
Only 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://buymobile.com.au/collections/open-box-special
Only 15 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://buymyweedonline.ca/product/round-glass-bowl-14mm-assorted-colours/
Only 8 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://cajungunworks.com/product/fiber-optic-front-sight-for-cz-tactical-sport/
Only 3 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://campfireaudio.com/shop/equinox/
Only 14 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://cannabismo.ca/products/sale-items/
Only 1 items left,Product detail,Scarcity,Low-stock Message,Product Page,No,https://cemarose.com/products/17958-01?variant=39767495564
89% offers claimed. Hurry up!,Sidewheel popup,Scarcity,Low-stock Message,Product Page,No,https://chicdelta.com/products/adjustable-heel-ankle-belt
ONLY 4 LEFT!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://chicsoul.com/products/whats-a-girl-to-do-skinny-jeans-white?variant=20226107211865
HURRY! ONLY 19 LEFT IN STOCK.,Product detail,Scarcity,Low-stock Message,Product Page,No,https://commonpanda.com/products/panda-cushion
"Order now, only 2 left in stock!",Product detail,Scarcity,Low-stock Message,Product Page,No,https://doduae.com/pearl-decorated-ribbed-full-sleeves-t-shirt-khaki.html
70% offers claimed. Hurry up!,Side wheel pop-up,Scarcity,Low-stock Message,Product Page,No,https://dudegadgets.com/products/10-pcs-finger-massage-rings?variant=397727596551
Low in stock: only 1 left.,Product detail,Scarcity,Low-stock Message,Product Page,No,https://en-saudi.ounass.com/shop-dolce-gabbana-multi-coloured-leopard-print-keira-105-sandals-for-women-212565210_245.html
96 ITEM(S) LEFT IN STOCK!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://fabriclore.com/collections/fab-wish-cards/products/fab-wish-card-10000
2 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://fancytigercrafts.com/collections/sale/products/pom-pom-quarterly-spring-2018
"Hurry, only 3 left!",Product detail,Scarcity,Low-stock Message,Product Page,No,https://fivestoryny.com/collections/valentines-day-shop/products/longsleeve-v-neckline-floral-ruffle-dress
Only 1 left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://fotodioxpro.com/products/nikg-snye-fusion-mrkii
Less than 10 left in stock,Shown for all products,Scarcity,Low-stock Message,Product Page,No,https://foxstark.com/collections/hotbabyitems/products/viking-baby-hat
Availability: Low in stock today,Shown for all products,Scarcity,Low-stock Message,Product Page,No,https://foxstark.com/collections/hotbabyitems/products/viking-baby-hat
Limited Quantity,Product detail,Scarcity,Low-stock Message,Product Page,No,https://furnod.com/collections/featured-products/products/janet-couture-bleached-knots-18-inches-glueless-full-lace
Limited stock!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://fuzz.online/products/fg-grater
HURRY! Only a few left in stock!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://fuzz.online/products/fg-grater
80% offers claimed. Hurry up!,Sidewheel popup,Scarcity,Low-stock Message,Product Page,No,https://fuzz.online/products/fg-grater
Only 11 left!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://herschel.ca/shop/backpacks/nova-backpack-mid-volume?v=10503-02522-OS
Only 14 left!,Product detail,Scarcity,Low-stock Message,Product Page,No,https://herschel.eu/shop/travel/chapter-travel-kit-carry-on?v=10347-03187-OS
Pre-order 3 left,Product detail,Scarcity,Low-stock Message,Product Page,No,https://hopscotch.in/products/2002/Home
Only 6 left,Product detail,Scarcity,Low-stock Message,Product Page,No,https://hydrobuilder.com/high-rise-3-x-4-multi-chamber-led-perpetual-harvest-soil-grow-tent-kit.html
Only 32 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://iheartcats.com/product/welcome-home-navy-blue-grey-kitty-cat-slippers/
Only few items left in stock,Product detail,Scarcity,Low-stock Message,Product Page,No,https://impressionsvanity.com/collections/best-selling-products/products/slaystation-pro-2-0-glow-pro-vanity-bundle-with-drawer-units?variant=13576209530973
Only 2 left,Product detail,Scarcity,Low-stock Message,Product Page,No,https://invictastores.com/last-call/invicta-star-wars-limited-edition-stormtrooper-mens-automatic-48mm-stainless-steel-iridescent-case-white-iridescent-dial-model-26555
